LAYOUTID,PAYOR,PAYORID,DATATYPE,PUCHCHARFLAG,OPTIONALLY,SKIPROW,TRAILERSKIP,ENTRYDATE,USERLOG,SHORTPAYOR,ACTIVEFLAG,DATEUPDATED,MANUALFLAG,CTLTYPE,LAYOUT_STATUS,VERIFIED,CHARACTERSET,MANUALOVERRIDEREASON,ICD10FLAG,APPROVECOLUMN,DP_CHECKS_INFO,DATADICTIONARYUPLOADED,UPDATEDBY
51,UNKNOWN,P0000,BIOMETRICS,N,N,0,0,08.09.2014 01:58:25,Anish Gopal Vaidya,UNKN,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
69,HIGHMARK BLUE CROSS,P0660,RXCLAIMS,N,N,0,1,08.09.2014 01:58:25,Rajendra Lamichhane,HMRK,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
87,DELTA DENTAL,P0580,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Anurag Pradhan,DLTA,Y,10.06.2015 00:40:27,N,,FINALIZED,Y,US7ASCII,,N,,USER_SET_FLMS,,
88,ANTHEM OH,P0140,ELIGIBILITIES,N,Y,1,0,08.09.2014 01:58:25,Sangita Manandhar,ATOH,Y,02.04.2015 04:51:12,N,,FINALIZED,Y,US7ASCII,,,,USER_SET_FLMS,,
135,UNITED HEALTH CARE (UHC),P0970,RXCLAIMS,N,N,0,0,08.09.2014 01:58:25,Shailee Gorkhali,UHC,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
90,ANTHEM OH,P0140,RXCLAIMS,N,Y,1,0,08.09.2014 01:58:25,Sangita Manandhar,ATOH,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
91,ANTHEM OH,P0140,CONTROL TOTAL,N,N,1,0,08.09.2014 01:58:25,Sangita Manandhar,ATOH,Y,08.09.2014 01:58:25,Y,,WORKING,N,US7ASCII,,,,,,
92,HEALTH NET,P4030,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Anurag Pradhan,HLTN,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,N,,USER_SET_FLMS,,
93,PREMERA BLUE CROSS,P0910,ELIGIBILITIES,N,N,1,0,08.09.2014 01:58:25,Renu Thakur,PRBC,Y,09.11.2015 23:29:42,N,,FINALIZED,Y,US7ASCII,,,,,,
94,HEALTH NET,P4030,RXCLAIMS,N,N,0,0,08.09.2014 01:58:25,Anurag Pradhan,HLTN,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
95,PREMERA BLUE CROSS,P0910,CLAIMS,N,N,1,0,08.09.2014 01:58:25,Renu Thakur,PRBC,Y,06.11.2015 06:32:45,N,,FINALIZED,Y,US7ASCII,,N,,,,
96,PREMERA BLUE CROSS,P0910,RXCLAIMS,N,N,1,0,08.09.2014 01:58:25,Renu Thakur,PRBC,Y,09.11.2015 23:30:30,N,,FINALIZED,Y,US7ASCII,,,,,,
236,CRAWFORD,P2875,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,CRFD,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
138,AETNA,P0010,RXCLAIMS,N,N,0,0,08.09.2014 01:58:25,Rashmi Pandey,ATNA,Y,01.12.2014 05:11:34,N,,FINALIZED,Y,US7ASCII,,,,USER_SET_FLMS,,
148,CONEXIS,P2360,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Rabin Panthi,CNXS,Y,09.07.2015 02:16:49,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
149,COBRA GUARD,P4135,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Rabin Panthi,COGU,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
157,TBA,P4210,ELIGIBILITIES,Y,N,0,0,08.09.2014 01:58:25,Rabin Panthi,TBA,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
158,TRION,P4215,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Rabin Panthi,TRON,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
203,HARVARD PILGRIM HEALTH CARE,P0650,CONTROL TOTAL,N,N,0,0,08.09.2014 01:58:25,Anish Gopal Vaidya,HPHC,Y,17.06.2015 00:07:18,N,,FINALIZED,Y,US7ASCII,,,,,,
235,IBX,P0730,RXCLAIMS,Y,N,1,0,08.09.2014 01:58:25,Biplab Pokhrel,IBX,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
269,UNKNOWN,P0000,RXCLAIMS,N,N,1,0,08.09.2014 06:55:24,Shailee Gorkhali,UNKN,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
237,CRAWFORD,P2875,CROSSWALK,N,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,CRFD,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
238,EXPRESS SCRIPT (ESI),P1070,RXCLAIMS,Y,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,ESI,Y,11.04.2017 09:11:59,N,,FINALIZED,Y,US7ASCII,,,,,,Sameer Tuladhar
208,HARVARD PILGRIM HEALTH CARE,P0650,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Rashmi Pandey,HPHC,N,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,Y,,,,
239,INGENIX,P0760,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,IGNX,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
240,INGENIX,P0760,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,IGNX,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,N,,,,
241,INGENIX,P0760,RXCLAIMS,N,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,IGNX,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
242,OPTUM,P2425,RXCLAIMS,N,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,OPTM,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
271,CATALYST,P1080,RXCLAIMS,N,N,0,0,08.09.2014 07:17:07,Shailee Gorkhali,CTLT,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
278,ALLEGIANCE HEALTH,P0040,CONTROL TOTAL,N,N,0,0,18.09.2014 07:28:43,Shailee Gorkhali,ALEH,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
279,ALLEGIANCE HEALTH,P0040,CONTROL TOTAL,N,N,4,0,18.09.2014 07:39:13,Shailee Gorkhali,ALEH,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
295,CORE RESOURCE MANAGEMENT GROUP,P2845,CLAIMS,N,Y,1,0,06.10.2014 07:47:33,Renu Thakur,CRMG,Y,,N,,FINALIZED,N,US7ASCII,,N,,,,
358,CONSOCIATE GROUP,P2925,ELIGIBILITIES,N,N,2,0,21.10.2014 04:23:35,Renu Thakur,COGR,Y,20.11.2014 06:26:53,N,,FINALIZED,N,US7ASCII,,,,,,
343,ADP,P4325,ELIGIBILITIES,N,Y,1,0,09.10.2014 08:17:15,Rashmi Singh,ADP,Y,15.12.2014 08:06:00,N,,FINALIZED,Y,US7ASCII,,,,,,
344,UNKNOWN,P0000,ELIGIBILITIES,N,N,2,0,12.10.2014 23:14:51,Renu Thakur,UNKN,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
359,GILSBAR,P2200,ELIGIBILITIES,N,Y,1,0,21.10.2014 06:04:08,Biplab Pokhrel,GBAR,Y,23.02.2015 06:23:13,N,,FINALIZED,Y,US7ASCII,,,,,,
314,WELLMARK,P2815,CLAIMS,N,N,1,0,07.10.2014 04:07:14,Keshab Ghimire,WLMR,Y,,N,,FINALIZED,Y,US7ASCII,,N,,,,
315,WELLMARK,P2815,RXCLAIMS,N,N,1,0,07.10.2014 04:12:41,Keshab Ghimire,WLMR,Y,,N,,FINALIZED,Y,US7ASCII,,,,,,
360,ANTHEM VA,P0100,CLAIMS,N,N,1,0,21.10.2014 06:04:18,Gyan K G M,ATVA,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
387,VERISK,P2940,ELIGIBILITIES,N,N,1,0,30.10.2014 07:50:48,Renu Thakur,VRSK,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
404,VERISK,P2940,CLAIMS,N,N,1,0,02.11.2014 22:50:13,Ayam Pokhrel,VRSK,Y,,N,,FINALIZED,N,US7ASCII,,N,,,,
398,ANTHEMRDX,P2510,CLAIMS,N,Y,0,0,31.10.2014 05:30:38,Rajendra Subedi,ARDX,Y,,N,,FINALIZED,N,US7ASCII,,Y,,,,
401,HEALTH ALLIANCE PLAN(HAP),P3090,OTHER,N,N,1,0,31.10.2014 08:07:45,Renu Thakur,HAP,Y,20.11.2014 05:07:00,N,,FINALIZED,N,US7ASCII,,,,,,
429,ANTHEM,P2320,CLAIMS,N,Y,1,0,06.11.2014 23:54:52,Aadesh,ANTM,Y,09.12.2014 05:19:43,N,,FINALIZED,N,US7ASCII,,,,,,
430,CAREFIRST BLUE CROSS,P0510,CLAIMS,N,N,0,0,07.11.2014 00:12:50,Biplab Pokhrel,CFBC,Y,,N,,FINALIZED,N,US7ASCII,,N,,,,
428,ANTHEM,P2320,CLAIMS,N,Y,1,0,06.11.2014 23:38:14,Biplab Pokhrel,ANTM,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
434,CAREFIRST BLUE CROSS,P0510,RXCLAIMS,N,N,0,0,07.11.2014 01:15:04,Biplab Pokhrel,CFBC,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
435,TCH (TAKECARE HEALTH),P0955,CONTROL TOTAL,N,N,0,0,10.11.2014 02:40:08,Biplab Pokhrel,TCH,Y,,N,,WORKING,N,US7ASCII,,,,,,
452,TCH (TAKECARE HEALTH),P0955,OTHER,N,N,1,0,17.11.2014 01:21:31,Biplab Pokhrel,TCH,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
436,AMERICAN HEALTH ADMIIN,P4320,CLAIMS,N,N,0,0,10.11.2014 04:26:33,Dinesh Khadka,AHAD,Y,11.11.2014 07:45:09,N,,FINALIZED,Y,US7ASCII,,N,,,,
437,PARAGON,P4290,CLAIMS,N,Y,0,0,10.11.2014 10:09:04,Neeta Dangol,PARA,Y,,N,,FINALIZED,Y,US7ASCII,,N,,,,
451,BCBS TX,P0450,CLAIMS,N,N,0,0,17.11.2014 01:12:41,Biplab Pokhrel,BCTX,Y,,N,,FINALIZED,N,US7ASCII,,Y,,USER_SET_FLMS,,
438,MEDCO,P1060,RXCLAIMS,Y,N,0,0,11.11.2014 07:09:04,Rashmi Pandey,MDCO,N,02.03.2015 03:06:50,N,,FINALIZED,Y,US7ASCII,,,,,,
